role	fixed_path	source_path	usage_note
vggt_official_vggt1b_aggregator	/horizon-bucket/saturn_v_dev/01_users/feng01.zhou/projects/meshx/baseline/trained_model/geoweave_paper_handoff_20260602_final/vggt_official_VGGT-1B/aggregator.pt	/horizon-bucket/saturn_v_dev/01_users/tao02.xie/projects/GFM/gfm/data/trained_model/vggt/official/VGGT-1B/aggregator.pt	Fixed VGGT-1B aggregator base checkpoint for GeoWeave/VGGT warm-up and sparse training initialization.
vggt_official_vggt1b_camera	/horizon-bucket/saturn_v_dev/01_users/feng01.zhou/projects/meshx/baseline/trained_model/geoweave_paper_handoff_20260602_final/vggt_official_VGGT-1B/camera.pt	/horizon-bucket/saturn_v_dev/01_users/tao02.xie/projects/GFM/gfm/data/trained_model/vggt/official/VGGT-1B/camera.pt	Fixed VGGT-1B camera decoder base checkpoint for GeoWeave/VGGT warm-up and sparse training initialization.
vggt_official_vggt1b_point	/horizon-bucket/saturn_v_dev/01_users/feng01.zhou/projects/meshx/baseline/trained_model/geoweave_paper_handoff_20260602_final/vggt_official_VGGT-1B/point.pt	/horizon-bucket/saturn_v_dev/01_users/tao02.xie/projects/GFM/gfm/data/trained_model/vggt/official/VGGT-1B/point.pt	Fixed VGGT-1B point decoder base checkpoint for GeoWeave/VGGT warm-up and sparse training initialization.
vggt_official_vggt1b_depth	/horizon-bucket/saturn_v_dev/01_users/feng01.zhou/projects/meshx/baseline/trained_model/geoweave_paper_handoff_20260602_final/vggt_official_VGGT-1B/depth.pt	/horizon-bucket/saturn_v_dev/01_users/tao02.xie/projects/GFM/gfm/data/trained_model/vggt/official/VGGT-1B/depth.pt	Fixed VGGT-1B depth decoder base checkpoint for GeoWeave/VGGT warm-up and sparse training initialization.
vggt_official_vggt1b_track	/horizon-bucket/saturn_v_dev/01_users/feng01.zhou/projects/meshx/baseline/trained_model/geoweave_paper_handoff_20260602_final/vggt_official_VGGT-1B/track.pt	/horizon-bucket/saturn_v_dev/01_users/tao02.xie/projects/GFM/gfm/data/trained_model/vggt/official/VGGT-1B/track.pt	Fixed VGGT-1B track decoder base checkpoint for GeoWeave/VGGT warm-up and sparse training initialization.
pi3_base_yyfz233	/horizon-bucket/saturn_v_dev/01_users/feng01.zhou/projects/meshx/baseline/trained_model/geoweave_paper_handoff_20260602_final/pi3_base_yyfz233/Pi3_model.safetensors	/horizon-bucket/saturn_v_dev/01_users/feng01.zhou/projects/meshx/baseline/pretrained/pi3/yyfz233_Pi3_model.safetensors	Fixed Pi3 base safetensors for GeoWeave/Pi3 native indexer warm-up initialization.
vggt_geoweave_pt79	/horizon-bucket/saturn_v_dev/01_users/feng01.zhou/projects/meshx/baseline/trained_model/geoweave_paper_handoff_20260602_final/vggt_geoweave_20260503_pt79/79.pt	/horizon-bucket/saturn_v_dev/01_users/feng01.zhou/projects/meshx/baseline/trained_model/vggt/official/finetune_5090_sparse_20260503_b11klwarmupend_12ds_nomapillary_topk1024_l9_19_nosvb_core4val_8x8_v1/79.pt	Final VGGT / GeoWeave paper checkpoint used by vggt_indexer_20260503_pt79_trusted.
pi3_geoweave_checkpoint79_dir	/horizon-bucket/saturn_v_dev/01_users/feng01.zhou/projects/meshx/baseline/trained_model/geoweave_paper_handoff_20260602_final/pi3_geoweave_native_sparse_20260505_checkpoint_79/checkpoint_79	/horizon-bucket/saturn_v_dev/01_users/feng01.zhou/projects/meshx/baseline/record/pi3/native_sparse/pi3_native_sparse_vggt15_ckpt24_dynres_topk1024_l9_17_lw10_splitclip_static0_depthgt_20260505_0335/outputs/pi3_native_sparse_vggt15_ckpt24_dynres_topk1024_l9_17_lw10_splitclip_static0_depthgt_20260505_0335/ckpts/checkpoint_79	Final Pi3 / GeoWeave full accelerator checkpoint directory; keep this directory for resume training.
pi3_geoweave_model_bin	/horizon-bucket/saturn_v_dev/01_users/feng01.zhou/projects/meshx/baseline/trained_model/geoweave_paper_handoff_20260602_final/pi3_geoweave_native_sparse_20260505_checkpoint_79/checkpoint_79/pytorch_model.bin	/horizon-bucket/saturn_v_dev/01_users/feng01.zhou/projects/meshx/baseline/record/pi3/native_sparse/pi3_native_sparse_vggt15_ckpt24_dynres_topk1024_l9_17_lw10_splitclip_static0_depthgt_20260505_0335/outputs/pi3_native_sparse_vggt15_ckpt24_dynres_topk1024_l9_17_lw10_splitclip_static0_depthgt_20260505_0335/ckpts/checkpoint_79/pytorch_model.bin	Use this file for inference-only Pi3 loading.
pi3_geoweave_config	/horizon-bucket/saturn_v_dev/01_users/feng01.zhou/projects/meshx/baseline/trained_model/geoweave_paper_handoff_20260602_final/pi3_geoweave_native_sparse_20260505_checkpoint_79/config.yaml	/horizon-bucket/saturn_v_dev/01_users/feng01.zhou/projects/meshx/baseline/record/pi3/native_sparse/pi3_native_sparse_vggt15_ckpt24_dynres_topk1024_l9_17_lw10_splitclip_static0_depthgt_20260505_0335/outputs/pi3_native_sparse_vggt15_ckpt24_dynres_topk1024_l9_17_lw10_splitclip_static0_depthgt_20260505_0335/.hydra/config.yaml	Use with native_sparse Pi3 eval/training code.
pi3_geoweave_stage2_init_ckpt49	/horizon-bucket/saturn_v_dev/01_users/feng01.zhou/projects/meshx/baseline/trained_model/geoweave_paper_handoff_20260602_final/pi3_geoweave_stage2_init_checkpoint_49/pytorch_model.bin	/horizon-bucket/saturn_v_dev/01_users/feng01.zhou/projects/meshx/baseline/trained_model/pi3/official/outputs/pi3_native_indexerwarmup_highres_scratch_streamkl_lowlr1e4_freezepi3_dynres_clipfix_alllayer_20260430_2350/ckpts/checkpoint_49/pytorch_model.bin	Available initialization model for Pi3 GeoWeave sparse/indexer stage2 training and 2-GPU training smoke; original paper stage2 used checkpoint_24, but that file is no longer visible in the bucket.
